metric,formula,counters,description
atomic_transactions,l1tex__t_set_accesses_pipe_lsu_mem_global_op_atom.sum + l1tex__t_set_accesses_pipe_lsu_mem_global_op_red.sum,"""l1tex__t_set_accesses_pipe_lsu_mem_global_op_atom.sum,l1tex__t_set_accesses_pipe_lsu_mem_global_op_red.sum""","""Global memory atomic and reduction transactions"""
atomic_transactions_per_request,(l1tex__t_sectors_pipe_lsu_mem_global_op_atom.sum + l1tex__t_sectors_pipe_lsu_mem_global_op_red.sum) / (l1tex__t_requests_pipe_lsu_mem_global_op_atom.sum + l1tex__t_requests_pipe_lsu_mem_global_op_red.sum),"""l1tex__t_sectors_pipe_lsu_mem_global_op_atom.sum,l1tex__t_sectors_pipe_lsu_mem_global_op_red.sum,l1tex__t_requests_pipe_lsu_mem_global_op_atom.sum,l1tex__t_requests_pipe_lsu_mem_global_op_red.sum""","""Average number of global memory atomic and reduction transactions performed for each atomic and reduction instruction"""
branch_efficiency,smsp__sass_average_branch_targets_threads_uniform.pct,"""smsp__sass_average_branch_targets_threads_uniform.pct""","""Ratio of branch instruction to sum of branch and divergent branch instruction"""
cf_executed,smsp__inst_executed_pipe_cbu.sum + smsp__inst_executed_pipe_adu.sum,"""smsp__inst_executed_pipe_cbu.sum,smsp__inst_executed_pipe_adu.sum""","""Number of executed control-flow instructions"""
double_precision_fu_utilization,smsp__inst_executed_pipe_fp64.avg.pct_of_peak_sustained_active,"""smsp__inst_executed_pipe_fp64.avg.pct_of_peak_sustained_active""","""The utilization level of the multiprocessor function units that execute double-precision floating-point instructions on a scale of 0 to 10"""
dram_read_transactions,dram__sectors_read.sum,"""dram__sectors_read.sum""","""Device memory read transactions"""
dram_utilization,dram__throughput.avg.pct_of_peak_sustained_elapsed,"""dram__throughput.avg.pct_of_peak_sustained_elapsed""","""The utilization level of the device memory relative to the peak utilization on a scale of 0 to 10"""
dram_write_transactions,dram__sectors_write.sum,"""dram__sectors_write.sum""","""Device memory write transactions"""
eligible_warps_per_cycle,smsp__warps_eligible.sum.per_cycle_active,"""smsp__warps_eligible.sum.per_cycle_active""","""Average number of warps that are eligible to issue per active cycle"""
flop_count_dp_add,smsp__sass_thread_inst_executed_op_dadd_pred_on.sum,"""smsp__sass_thread_inst_executed_op_dadd_pred_on.sum""","""Number of double-precision floating-point add operations executed by non-predicated threads."""
flop_count_dp_fma,smsp__sass_thread_inst_executed_op_dfma_pred_on.sum,"""smsp__sass_thread_inst_executed_op_dfma_pred_on.sum""","""Number of double-precision floating-point multiply-accumulate operations executed by non-predicated threads. Each multiply-accumulate operation contributes 1 to the count."""
flop_count_dp_mul,smsp__sass_thread_inst_executed_op_dmul_pred_on.sum,"""smsp__sass_thread_inst_executed_op_dmul_pred_on.sum""","""Number of double-precision floating-point multiply operations executed by non-predicated threads."""
flop_count_hp_add,smsp__sass_thread_inst_executed_op_hadd_pred_on.sum,"""smsp__sass_thread_inst_executed_op_hadd_pred_on.sum""","""Number of half-precision floating-point add operations executed by non-predicated threads."""
flop_count_hp_fma,smsp__sass_thread_inst_executed_op_hfma_pred_on.sum,"""smsp__sass_thread_inst_executed_op_hfma_pred_on.sum""","""Number of half-precision floating-point multiply-accumulate operations executed by non-predicated threads. Each multiply-accumulate contributes 2 or 4 to the count based on the number of inputs."""
flop_count_hp_mul,smsp__sass_thread_inst_executed_op_hmul_pred_on.sum,"""smsp__sass_thread_inst_executed_op_hmul_pred_on.sum""","""Number of half-precision floating-point multiply operations executed by non-predicated threads."""
flop_count_sp_add,smsp__sass_thread_inst_executed_op_fadd_pred_on.sum,"""smsp__sass_thread_inst_executed_op_fadd_pred_on.sum""","""Number of single-precision floating-point add operations executed by non-predicated threads."""
flop_count_sp_fma,smsp__sass_thread_inst_executed_op_ffma_pred_on.sum,"""smsp__sass_thread_inst_executed_op_ffma_pred_on.sum""","""Number of single-precision floating-point multiply-accumulate operations executed by non-predicated threads. Each multiply-accumulate operation contributes 1 to the count."""
flop_count_sp_mul,smsp__sass_thread_inst_executed_op_fmul_pred_on.sum,"""smsp__sass_thread_inst_executed_op_fmul_pred_on.sum""","""Number of single-precision floating-point multiply operations executed by non-predicated threads."""
